"","S1.1","S1.2","S1.3","S1.4","S1.5","S1.6","S1.7","S1.8","S1.9","S1.10","S1.11","S1.12","S1.13","S1.14","S1.15","S1.16","S1.17","S1.18","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","S2.11","S2.12","S2.13","S2.14","S2.15","S2.16","S2.17","S2.18","S3.1","S3.2","S3.3","S3.4","S3.5","S3.6","S3.7","S3.8","S3.9","S3.10","S3.11","S3.12","S3.13","S3.14","S3.15","S3.16","S3.17","S3.18","S4.1","S4.2","S4.3","S4.4","S4.5","S4.6","S4.7","S4.8","S4.9","S4.10","S4.11","S4.12","S4.13","S4.14","S4.15","S4.16","S4.17","S4.18","S5.1","S5.2","S5.3","S5.4","S5.5","S5.6","S5.7","S5.8","S5.9","S5.10","S5.11","S5.12","S5.13","S5.14","S5.15","S5.16","S5.17","S5.18"
"13",65.07111438,69.35548189,87.67016544,76.79233434,89.1553193,100.187587,62.52312438,91.99696579,110.5219878,73.16759473,83.68913349,89.27292775,37.73533807,76.91695947,109.9189597,54.50793979,79.14843725,101.447241,26.44453549,16.00918678,19.7276728,35.82656442,41.33341798,36.10638488,34.50858668,30.52113665,42.20615808,35.85421825,34.29526989,34.34481938,28.8879728,41.51052428,23.53191446,27.78739366,39.17444003,61.58623482,20.17381972,15.06755849,6.202756628,8.338100328,16.69199515,21.34324463,7.334060354,5.995627296,15.55490216,4.598515058,12.9573862,14.01402444,20.75428569,15.68575903,27.02798115,33.73357644,29.93477171,20.52095432,15.51705231,12.55848973,17.80465476,12.26688888,-1.384207425,7.134286058,0.843818957,29.91581257,20.89633287,29.64595456,13.7210631,11.86973618,-8.303825601,12.87234964,8.187116153,9.727122035,23.45247691,5.384190011,19.81150115,11.73212343,23.80292139,5.947886048,-6.597277617,6.89967779,11.07547987,20.03196341,17.13145543,30.70232692,17.02917313,10.84033663,7.370097101,3.638859629,2.327083992,6.38033707,11.77114288,24.7329316
"14",65.55125088,69.10659811,88.12761363,77.11486798,89.68466902,99.60523385,62.70554145,91.64963361,109.934387,73.36120154,83.75070712,89.14582163,38.33855982,77.115699,108.7435424,54.31325348,79.30131078,101.6175743,26.56689379,15.83623203,20.66277538,35.4029629,40.71764476,36.23811893,34.42379723,30.39230494,42.02926095,35.88922618,34.84174773,33.90328023,28.40948002,41.29061735,23.34604549,27.65329299,39.38184177,61.35187989,19.65991958,14.15966822,5.200767639,8.171566586,16.44606708,20.76372673,6.655938645,5.565391915,14.65134897,4.060389016,12.79141671,14.37636413,20.42128308,14.70184515,26.123221,33.80622884,30.30869596,19.98977005,15.41064868,12.19296452,17.88223021,12.25871825,-1.441091171,7.213896635,1.966771855,29.64166658,20.8688239,29.36414724,13.46372701,12.22764465,-8.839174279,12.89942862,7.772373067,9.495178798,23.82176935,5.845834103,19.99680238,11.6849682,23.85094224,6.188392806,-6.938320136,6.764162165,11.28844824,19.58283744,17.12862083,30.54607813,16.71574505,10.96896072,7.188908113,3.914135802,2.229178381,6.332525405,11.73883404,24.81748339
"15",65.12874141,69.12211651,88.42063875,76.41308476,89.10062661,100.5763282,63.01303443,92.21002642,109.8525444,72.72832132,84.29013984,89.34241876,38.39940383,77.1387088,108.84469,54.29073194,79.37445048,101.3385829,26.56576959,16.21923033,20.47061933,35.71897725,41.67432637,36.22173506,34.36656816,30.4521754,42.3454702,35.61298652,34.41028589,33.7968601,29.05792023,41.77263866,23.64362286,28.30047113,39.29158535,61.88792988,19.74177846,14.43434005,5.1924522,8.350625946,16.28962183,20.70662687,6.601907647,5.378633779,14.55244659,3.787827899,12.57514497,13.59764942,20.25026891,14.78618206,25.20694039,33.70565491,29.81309305,20.07901228,15.07240148,12.0788359,17.52851974,12.44273611,-1.221554675,6.923792172,0.816775316,28.95825921,20.43722222,28.79129096,13.23936454,12.28757857,-8.442482682,12.56740452,7.781429289,8.884148369,23.27356131,4.999494746,19.46647637,11.54816204,23.71038435,6.321719641,-6.184303118,6.476020827,10.4944285,19.23444883,17.0820641,30.39596475,16.85982778,10.50502826,6.619381991,3.526640471,1.886816415,6.214812314,11.25953628,24.30340891
"16",65.18449383,68.60335683,87.67762883,76.00331037,88.70844875,100.3585059,62.59824093,91.69994121,109.1557692,72.14289303,83.32939064,88.7518738,37.57174093,76.95174353,108.4316728,53.46492518,78.72095968,100.4783237,26.60116679,16.25453906,20.64702301,36.06972836,41.10643528,36.15867065,34.45733225,30.47777159,41.55044404,35.51578904,34.30867901,33.7054419,28.86937658,41.05752281,23.24915837,27.5663471,39.33412138,61.60967381,19.12897148,14.1245172,5.206513786,7.561442984,16.97180482,20.83884729,6.403420481,5.161694428,14.69435916,3.347326618,12.32833233,13.48086433,20.26058566,14.66695604,25.538491,32.99778556,29.7317783,19.42758584,15.1512535,12.06719426,17.70214468,12.26263466,-1.999541925,6.934839036,1.299002645,28.71519599,20.38966015,28.79704951,13.6982017,12.69289798,-7.938582701,12.88509993,7.853749194,9.077863078,23.63377682,4.897713535,20.01399796,12.29302676,23.73870413,6.518433063,-6.399051506,6.799285344,10.83545297,19.62197706,17.19388385,29.76950123,16.85902264,11.17326755,6.886179343,3.681853411,2.532342932,6.286682087,11.27775515,24.26490941
"17",64.60272228,68.45854036,87.85030975,76.17091096,88.57589986,100.2185854,62.60170617,91.51857222,108.4569753,72.22984989,83.52880615,88.10957409,37.74217437,76.12367377,107.4170329,53.86347508,78.48329862,100.6659327,26.8650721,16.46615585,20.767012,36.40626373,41.37032273,36.68151574,34.90092806,31.15733473,42.13760433,35.78313667,34.91515439,33.98931708,29.13658839,41.27615225,23.42286189,28.15843604,40.08146318,61.75212804,19.32403468,14.18407995,5.909708532,7.749676812,16.64776386,20.72658622,6.582309407,5.34899063,14.95355335,3.749458671,12.22150751,12.95209984,20.1536472,14.17143855,25.38067388,32.91971015,29.39293271,19.80221372,14.87015725,12.1517279,17.12868318,12.45744664,-1.285667403,6.86783981,1.352749389,29.32373647,20.49862142,28.36213442,13.34957276,12.39418981,-8.686938303,12.43683663,7.770259945,9.045184027,23.87341589,5.693716285,20.08159134,11.913911,23.70125398,6.448732487,-6.224391657,6.542553049,11.03911502,19.94907135,17.43083591,29.53524304,16.56440897,11.4797876,6.869212901,3.473091699,2.333924163,6.538210949,11.53484302,24.65088871
"18",65.56503999,68.62006639,87.6693518,77.69135901,89.59784318,101.5118872,63.63231787,92.3739851,109.8205268,73.54405808,84.03323847,88.4465697,38.55690377,77.11640101,108.0162358,55.20245297,79.19065915,101.0504102,27.60695119,17.08399864,21.26634531,37.52478512,42.30424038,37.7023045,35.62464423,32.19104371,42.80878278,36.24758881,35.89071931,34.97935982,29.94100302,42.28492808,24.16985099,29.30263253,40.65905691,62.18435424,19.74926985,14.46984269,5.894244829,8.730831745,17.20790199,21.19146326,6.021566795,5.753001751,15.21848806,3.409290818,12.13028805,14.05691162,20.77401315,14.398152,25.72585841,32.87535133,29.81639218,20.1311959,14.630508,12.05113009,17.45333898,11.94526438,-1.428047988,7.002170683,1.243998742,28.81411045,20.24364144,27.63308423,13.56788268,11.89491073,-8.346527102,12.432341,7.753311161,8.722377888,23.09806385,5.024427362,19.586466,11.96068401,23.44289208,6.528960991,-6.525765213,6.560177257,11.10653305,19.92870614,17.74098559,29.06989257,16.52816332,10.95624917,6.519384217,3.922083033,2.061219096,6.306769613,11.30820118,24.44156587
"19",67.07244701,69.77972035,89.22133335,80.44250773,91.52694083,103.0847889,66.60476812,94.21900979,110.9557916,75.38941763,85.38685123,89.80384268,40.64996689,78.67363221,108.9055577,57.77811609,80.40833597,102.8017314,29.82283653,19.56805129,23.51691716,38.95423881,44.55022268,40.023772,37.18124793,34.32974709,44.73419752,38.38447653,37.85729665,36.75547311,31.46422234,43.73254597,26.0078305,30.82482053,42.95558412,64.36535692,19.9439143,14.56859123,5.869379775,9.121125598,17.35247144,21.69612138,6.320564057,6.150434635,15.78082696,3.676830215,12.38324308,14.12154281,20.33832883,14.84146622,25.89473059,32.86817774,29.95303219,20.72811514,14.59174384,11.96887907,17.30991955,12.19089818,-1.433575733,7.149370077,0.937361311,28.86420425,20.65196493,27.6236516,13.5402626,11.97561103,-8.587240916,12.17074383,7.709972304,8.885328677,23.11052318,5.005719513,19.62117827,11.40596978,23.8459197,6.231054407,-5.941286713,6.927162444,10.83078132,19.92189728,17.44834381,28.59738286,16.0094816,11.00441613,6.599748985,3.706601289,2.241914175,5.829406605,11.21765559,24.36529039
"20",69.10181193,70.87351149,90.88468963,85.39986653,95.33718163,107.2765963,71.0569834,98.2401002,114.3672628,78.87752295,88.32895906,92.12834223,43.43897526,81.74654842,110.3266011,62.94912983,82.48322241,105.4715509,33.36793841,23.80031073,27.6053629,42.69610566,48.03358475,43.88586082,40.90629439,38.0978188,48.24977995,41.8211952,41.15685414,40.50776495,34.79926376,47.36340741,30.00500463,34.16519824,46.55396677,67.68119593,20.78470961,15.54796131,7.174124952,9.390130722,18.05684144,22.50268357,7.220771052,6.641036012,16.4197744,4.522935557,13.00583753,14.5580451,21.54224289,15.40370986,27.10483623,33.98827958,30.52593811,20.98826406,14.48804685,12.0084618,17.19795649,12.10439614,-1.326409251,7.033800082,1.521148274,28.96638148,20.33266062,27.13521026,13.67290126,11.92282308,-8.628080361,12.37627128,7.375130222,9.060593737,22.93092599,4.817448844,20.052712,11.3156155,22.97650569,6.549316742,-5.949301527,6.649520245,10.60582078,19.48063171,17.38755935,28.95435051,16.10506962,10.79502178,6.063381854,3.739812046,1.919066924,5.502610534,11.07304962,23.85586514
"21",74.62826691,75.46301134,95.22924122,95.37452677,102.7813019,114.7482867,79.84897799,104.6215194,121.0335155,85.69281485,93.6742518,97.25821513,49.87993928,86.7832528,113.9810449,71.59535059,86.43992308,110.5512561,40.15518289,31.73359728,34.4692186,49.91138433,56.10720524,53.00582785,47.67478926,46.40135576,55.98225399,49.25463494,47.91001704,48.36123712,41.67058478,54.94600284,38.04240378,40.28904865,53.48757127,74.43382374,22.71955281,17.62566791,9.846115923,11.15768699,19.70424502,24.26529087,8.769243321,8.304666497,18.23030688,6.227431978,14.44941465,16.37363396,23.19021033,16.81876272,28.53158427,35.05752325,31.91061871,23.01026005,14.04976573,11.86020048,16.82073269,12.0093069,-1.484049848,6.960789776,1.515678352,28.40825723,20.67087491,26.67404471,13.34603736,11.61535078,-8.495709215,11.94437041,7.592426186,9.340711005,22.54569189,5.045651235,19.70557772,11.54357224,23.15502239,6.231434998,-6.676544299,6.881116094,10.76240915,19.54770251,17.68444109,28.76169976,16.31610903,10.31340604,5.636318007,3.169771236,1.766081446,6.101702176,10.94817624,24.08812529
"22",84.66046849,84.97607422,105.5429473,116.2011343,118.8801203,132.0331096,98.4078575,119.5278165,135.8204582,101.3433901,105.8410401,108.2441299,63.77261101,98.26693439,123.3146156,91.01274232,96.55964825,121.8996944,54.34600166,49.12329028,49.46749302,65.19459042,71.92205557,70.66176377,62.63869084,63.1278422,71.41686036,64.40223209,62.91910402,65.68131923,56.5703795,71.38494169,54.03169696,54.03415446,68.26607753,89.48015725,26.36776525,20.30502919,12.66428509,15.47910125,23.75028571,28.14984918,12.26738239,11.79358633,22.41567685,9.202710354,17.72666959,19.51268258,26.66603246,20.24480219,31.33443223,37.95160113,34.87103457,26.67214561,14.90159762,12.53396158,17.5103764,13.12609276,-0.196947842,8.303464755,2.133263114,28.8691442,20.94160963,27.7812908,14.58223453,12.68239119,-7.837703056,12.73646168,8.211000195,10.35775915,23.87386513,5.800397934,20.14839513,11.39137685,23.52409404,7.07484282,-5.793555435,7.188417209,10.91005566,19.9316458,18.10150202,28.22933746,16.58254222,10.47054235,6.67386397,3.906515065,2.121227619,6.273945068,11.28984504,24.31784508
